code,affiliation_code,set_code,name,subtitle,type_code,points,BoFpoints,cost,health,side1,side2,side3,side4,side5,side6,faction_code,text,deck_limit,flavor,has_die,has_errata,illustrator,is_unique,position,rarity_code,ttscardid,subtype1,subtype2,subtype3,reprint_of
01001,villain,AW,Captain Phasma,Elite Trooper,character,12/15,12/15,NA,11,1RD,2RD,1F,1Dc,1R,-,red,Your non-unique characters have the Guardian keyword.,1,"""Whatever you're planning, it won't work.""",TRUE,TRUE,Darren Tan,TRUE,1,L,1300,leader,trooper,NA,NA
01002,villain,AW,First Order Stormtrooper,NA,character,7,7,NA,7,1RD,2RD,2RD1,1R,-,-,red,NA,4,Members of this new generation of stormtroopers are trained from birth and fed a steady diet of First Order propaganda to ensure absolute loyalty.,TRUE,TRUE,NA,FALSE,2,R,1301,trooper,NA,NA,NA
01003,villain,AW,General Grievous,Jedi Hunter,character,13/18,12/16,NA,10,2MD,2MD,3MD1,1Dr,1R,-,red,"Before an opponent's character is defeated, you may move one of their non-<i>ability</i> upgrades to this character.",1,NA,TRUE,TRUE,Romana Kendelic,TRUE,3,R,1302,leader,NA,NA,NA
01004,villain,AW,General Veers,Field Commander,character,11/14,11/14,NA,9,1RD,2RD,+2RD,1Sh,1R,-,red,<b>Action</b> - Remove this die to turn one of your support dice to any side.,1,"""General, prepare your troops for a surface attack."" <cite>Darth Vader</cite>",TRUE,TRUE,Jake Murray,TRUE,4,R,1303,leader,NA,NA,NA
01005,villain,AW,AT-ST,NA,support,NA,NA,6,NA,3RD,4RD,5RD1,2Sh,Sp,Sp,red,[special] - Discard a support from play.,2,The All Terrain Scout Transport filled both support and reconnaissance roles in the Galactic Empire's war machine.,TRUE,FALSE,David Auden Nash,FALSE,5,L,1304,vehicle,NA,NA,NA
01006,villain,AW,First Order TIE Fighter,NA,support,NA,NA,3,NA,1RD,2RD,3RD1,1Dr,Sp,-,red,[special] - Remove all shield from all of an opponent's characters.,2,NA,TRUE,FALSE,Ben Zweifel,FALSE,6,R,1305,vehicle,NA,NA,NA
01007,villain,AW,Commanding Presence,NA,upgrade,NA,NA,3,NA,1F,2F,2Dr,1R,Sp,Sp,red,"Red character only.
[special] - Choose a Red die. If it is your die, resolve it, increasing its value by 2. If it is an opponent's die, remove it.",2,NA,TRUE,FALSE,Alejandro Marabel,FALSE,7,L,1306,ability,NA,NA,NA
01008,villain,AW,F-11D Rifle,NA,upgrade,NA,NA,2,NA,2RD1,+1RD,+2RD,1R,Sp,-,red,"Redeploy.
[special] - Force an opponent to deal 2 damage to their characters, distributing the damage as they wish.",2,NA,TRUE,FALSE,NA,FALSE,8,S,1307,weapon,NA,NA,NA
01009,villain,AW,Count Dooku,Devious Strategist,character,11/15,11/15,NA,10,1MD,2MD,1F,2Dc1,1R,-,blue,"Before this character is dealt 1 or more damage, you may discard a card from your hand to give him 1 shield.",1,NA,TRUE,TRUE,Kate Laird,TRUE,9,R,1308,sith,NA,NA,NA
01010,villain,AW,Darth Vader,Sith Lord,character,16/21,15/19,NA,13,2MD,3MD,2Dr,1Sh,1R,-,blue,After you activate this character you may force an opponent to choose and discard a card from their hand.,1,"""If you will not fight, then you will meet your destiny.""",TRUE,TRUE,Darren Tan,TRUE,10,L,1309,sith,NA,NA,NA
