GO1,GO1,GO1,GO1,GO1,GO1,GO3,GO3,GO3,GO3,GO3,GO3
6,5,4,3,2,1,6,5,4,3,2,1
1,1,1,1,1,1,1,1,1,1,1,1
BYRUS,VIKA,BYRUS,GRINGOSTOSO,BEACONFIRE,STEVDAV,VIKA,ROCKNTROLL,MAKVAG,BEARCAT2010,VIKA,LIQUIDSNAKE
Loss,Win,Win,Loss,Loss,Loss,Loss,Loss,Loss,Win,Win,Loss
VIKA,ROYALSABK,TARKA,EARDRON,ROYALSABK,KIKI,CHINY,VIKA,ROCKNTROLL,ARKHAN,EDGE STRYFE,MAKVAG
Win,Loss,Loss,Win,Win,Win,Win,Win,Win,Loss,Loss,Win
,,,,,,,,,,,
2,2,2,2,2,2,2,2,2,2,2,2
ROYALSABK,MALACIOUSMAWLOC,MALACIOUSMAWLOC,ROYALSABK,LORDSHISHIO,LED,MALACIOUSMAWLOC,OEKLAMPADIUS,BEARCAT2010,MAKVAG,KIKI,ARKHAN
Loss,Loss,Win,Win,Loss,Loss,Win,Loss,Loss,Win,Loss,Win
VULKAR,BYRUS,EARDRON,HIPO,VIKA,FERAL,GAMESLAYER989,MALACIOUSMAWLOC,VIKA,LORDSHISHIO,THE86,ED LOTTS
Win,Win,Loss,Loss,Win,Win,Loss,Win,Win,Loss,Win,Loss
,,,,,,,,,,,
3,3,3,3,3,3,3,3,3,3,3,3
BEACONFIRE,HIPO,ROYALSABK,VULKAR,GRINGOSTOSO,RYAN0770,BEARCAT2010,GAMESLAYER989,ECOMODE,THE86,ROCKNTROLL,LOSRE
Win,Win,Win,Loss,Win,Win,Loss,Win,Loss,Loss,Win,Win
PAMBYS,TARKA,PAMBYS,PAMBYS,ERIK,JGH128G,ROCKNTROLL,STRMTRPR81,OEKLAMPADIUS,ECOMODE,DO0M,CHINY
Loss,Loss,Loss,Win,Loss,Loss,Win,Loss,Win,Win,Loss,Loss
,,,,,,,,,,,
4,4,4,4,4,4,4,4,4,4,4,4
MALACIOUSMAWLOC,BEACONFIRE,VIKA,TARKA,VULKAR,DO0M,ECOMODE,ECOMODE,MALACIOUSMAWLOC,RYAN0770,MAKVAG,ERIK
Win,Win,Win,Win,Win,Loss,Loss,Win,Win,Loss,Win,Loss
SEVANS,EARDRON,LANZA,MAKVAG,KIKI,VULKAR,LANZA,MAKVAG,DO0M,VIKA,OEKLAMPADIUS,EDGE STRYFE
Loss,Loss,Loss,Loss,Loss,Win,Win,Loss,Loss,Win,Loss,Win
,,,,,,,,,,,
5,5,5,5,5,5,5,5,5,5,5,5
ROCKNTROLL,PAMBYS,BEACONFIRE,ROCKNTROLL,RYAN0770,ALGEROTH,STRMTRPR81,CHINY,RYAN0770,GAMESLAYER989,RYAN0770,JEFFWEISS
Win,Win,Win,Loss,Loss,Win,Win,Win,Loss,Loss,Win,Loss
HIPO,GRINGOSTOSO,ALGEROTH,VIKA,HIPO,DABLAZE,SEBASTIAN VAN UYTFANGE,SEBASTIAN VAN UYTFANGE,SEBASTIAN VAN UYTFANGE,ROCKNTROLL,LOSRE,RYAN0770
Loss,Loss,Loss,Win,Win,Loss,Loss,Loss,Win,Win,Loss,Win
,,,,,,,,,,,
6,6,6,6,6,6,6,6,6,6,6,6
TARKA,ATOMISK - ROWAN BUCK,GRINGOSTOSO,BYRUS,HANZ HAS,MALACIOUSMAWLOC,DO0M,LORDSHISHIO,GAMESLAYER989,MALACIOUSMAWLOC,LORDSHISHIO,DARLIANE GALEGO
Loss,Loss,Win,Win,Win,Win,Loss,Loss,Win,Win,Win,Loss
VONTZ,SEVANS,CHINY,ALGEROTH,BYE,THE86,BYRUS,BEARCAT2010,THE86,PAMBYS,BYRUS,ROCKNTROLL
Win,Win,Loss,Loss,Loss,Loss,Win,Win,Loss,Loss,Loss,Win
,,,,,,,,,,,
7,7,7,7,7,7,7,7,7,7,7,7
LORDSHISHIO,ROCKNTROLL,ATOMISK - ROWAN BUCK,MALACIOUSMAWLOC,THE86,DAVID KHAN,MAKVAG,LANZA,ECHO3OFCLUBS,DOUBLE TMANIA,LANZA,ECOMODE
Win,Win,Win,Win,Win,Loss,Win,Win,Loss,Loss,Loss,Win
ROYZSTON,LEVITICUSTARD,THEBASTMASTER,ERIK,ED LOTTS,MAKVAG,KECO39,LOSRE,LORDSHISHIO,LOSRE,GAMESLAYER989,LEVITICUSTARD
Loss,Loss,Loss,Loss,Loss,Win,Loss,Loss,Win,Win,Win,Loss
,,,,,,,,,,,
8,8,8,8,8,8,8,8,8,8,8,8
ALGEROTH,VULKAR,STRMTRPR81,ATOMISK - ROWAN BUCK,JGH128G,DOUBLE TMANIA,ARKHAN,PAMBYS,LOSRE,BYRUS,ARKHAN,THEGANDORK
Loss,Win,Loss,Win,Loss,Loss,Win,Loss,Loss,Loss,Win,Loss
ARKHAN,LORDSHISHIO,VULKAR,THE86,DO0M,SEVANS,VULKAR,KECO39,STRMTRPR81,STRMTRPR81,PAMBYS,THE86
Win,Loss,Win,Loss,Win,Win,Loss,Win,Win,Win,Loss,Win
,,,,,,,,,,,
9,9,9,9,9,9,9,9,9,9,9,9
ATOMISK - ROWAN BUCK,VONTZ,SEVANS,CHINY,ARKHAN,EARDRON,ECHO3OFCLUBS,BYRUS,ARKHAN,ECHO3OFCLUBS,VULKAR,MATTHEW KUCKLINCA
Loss,Win,Win,Win,Win,Win,Loss,Win,Loss,Win,Loss,Loss
NIGHT,REVANCHIST,ARKHAN,ECHO3OFCLUBS,DOUBLE TMANIA,THOMAS VIENNEAU,OEKLAMPADIUS,DOUBLE TMANIA,CHINY,EDGE STRYFE,ECOMODE,PAMBYS
Win,Loss,Loss,Loss,Loss,Loss,Win,Loss,Win,Loss,Win,Win
,,,,,,,,,,,
10,10,10,10,10,10,10,10,10,10,10,10
LEVITICUSTARD,STRMTRPR81,ROCKNTROLL,HANZ HAS,LEVITICUSTARD,MAJOBASIL,ERIK,DO0M,KIKI,CHINY,BEARCAT2010,DO0M
Win,Loss,Win,Loss,Win,Loss,Loss,Win,Win,Win,Win,Win
SHADYBUFFALO,CHINY,OJ HEMMINGS,BEACONFIRE,STEVDAV,ROYALSABK,RYAN0770,KIKI,JEFFWEISS,KIKI,LIQUIDSNAKE,THOMAS VIENNEAU
Loss,Win,Loss,Win,Loss,Win,Win,Loss,Loss,Loss,Loss,Loss
,,,,,,,,,,,
11,11,11,11,11,11,11,11,11,11,11,11
GRINGOSTOSO,THEBASTMASTER,HIPO,STRMTRPR81,THOMAS VIENNEAU,THEBASTMASTER,KIKI,VULKAR,PAMBYS,LANZA,SEBASTIAN VAN UYTFANGE,BYRUS
Win,Loss,Win,Win,Loss,Loss,Loss,Win,Win,Loss,Win,Win
MOOPHISTO,ALGEROTH,VONTZ,KIKI,RAVEN REPLICAS,STRMTRPR81,DOUBLE TMANIA,THE86,EDGE STRYFE,DO0M,ERIK,JGH128G
Loss,Win,Loss,Loss,Win,Win,Win,Loss,Loss,Win,Loss,Loss
,,,,,,,,,,,
12,12,12,12,12,12,12,12,12,12,12,12
